movie_id,user_id,rating,created_at,is_deleted
1,1,4,2021-10-11 23:13:12.977181+03,false
2,1,2,2021-10-11 23:13:12.977181+03,false
3,1,2,2021-10-11 23:13:12.977181+03,false
4,1,5,2021-10-11 23:13:12.977181+03,false
5,1,3,2021-10-11 23:13:12.977181+03,false
6,1,1,2021-10-11 23:13:12.977181+03,false
7,1,3,2021-10-11 23:13:12.977181+03,false
8,1,1,2021-10-11 23:13:12.977181+03,false
9,1,3,2021-10-11 23:13:12.977181+03,false
10,1,5,2021-10-11 23:13:12.977181+03,false
11,1,1,2021-10-11 23:13:12.977181+03,false
12,1,5,2021-10-11 23:13:12.977181+03,false
13,1,4,2021-10-11 23:13:12.977181+03,false
14,1,2,2021-10-11 23:13:12.977181+03,false
15,1,2,2021-10-11 23:13:12.977181+03,false
16,1,4,2021-10-11 23:13:12.977181+03,false
17,1,1,2021-10-11 23:13:12.977181+03,false
18,1,2,2021-10-11 23:13:12.977181+03,false
19,1,3,2021-10-11 23:13:12.977181+03,false
20,1,4,2021-10-11 23:13:12.977181+03,false
21,1,2,2021-10-11 23:13:12.977181+03,false
22,1,4,2021-10-11 23:13:12.977181+03,false
23,1,5,2021-10-11 23:13:12.977181+03,false
24,1,4,2021-10-11 23:13:12.977181+03,false
25,1,3,2021-10-11 23:13:12.977181+03,false
26,1,3,2021-10-11 23:13:12.977181+03,false
27,1,1,2021-10-11 23:13:12.977181+03,false
28,1,5,2021-10-11 23:13:12.977181+03,false
29,1,4,2021-10-11 23:13:12.977181+03,false
30,1,1,2021-10-11 23:13:12.977181+03,false
31,1,3,2021-10-11 23:13:12.977181+03,false
32,1,5,2021-10-11 23:13:12.977181+03,false
33,1,3,2021-10-11 23:13:12.977181+03,false
34,1,1,2021-10-11 23:13:12.977181+03,false
35,1,1,2021-10-11 23:13:12.977181+03,false
36,1,1,2021-10-11 23:13:12.977181+03,false
37,1,3,2021-10-11 23:13:12.977181+03,false
38,1,3,2021-10-11 23:13:12.977181+03,false
39,1,2,2021-10-11 23:13:12.977181+03,false
40,1,3,2021-10-11 23:13:12.977181+03,false
41,1,3,2021-10-11 23:13:12.977181+03,false
42,1,2,2021-10-11 23:13:12.977181+03,false
43,1,5,2021-10-11 23:13:12.977181+03,false
44,1,3,2021-10-11 23:13:12.977181+03,false
45,1,2,2021-10-11 23:13:12.977181+03,false
46,1,2,2021-10-11 23:13:12.977181+03,false
47,1,3,2021-10-11 23:13:12.977181+03,false
48,1,2,2021-10-11 23:13:12.977181+03,false
49,1,1,2021-10-11 23:13:12.977181+03,false
50,1,3,2021-10-11 23:13:12.977181+03,false
51,1,5,2021-10-11 23:13:12.977181+03,false
52,1,3,2021-10-11 23:13:12.977181+03,false
53,1,2,2021-10-11 23:13:12.977181+03,false
54,1,3,2021-10-11 23:13:12.977181+03,false
55,1,3,2021-10-11 23:13:12.977181+03,false
56,1,5,2021-10-11 23:13:12.977181+03,false
57,1,3,2021-10-11 23:13:12.977181+03,false
58,1,2,2021-10-11 23:13:12.977181+03,false
59,1,2,2021-10-11 23:13:12.977181+03,false
60,1,1,2021-10-11 23:13:12.977181+03,false
61,1,1,2021-10-11 23:13:12.977181+03,false
62,1,1,2021-10-11 23:13:12.977181+03,false
63,1,5,2021-10-11 23:13:12.977181+03,false
64,1,4,2021-10-11 23:13:12.977181+03,false
65,1,2,2021-10-11 23:13:12.977181+03,false
66,1,3,2021-10-11 23:13:12.977181+03,false
67,1,2,2021-10-11 23:13:12.977181+03,false
68,1,5,2021-10-11 23:13:12.977181+03,false
69,1,5,2021-10-11 23:13:12.977181+03,false
70,1,4,2021-10-11 23:13:12.977181+03,false
71,1,1,2021-10-11 23:13:12.977181+03,false
72,1,1,2021-10-11 23:13:12.977181+03,false
73,1,3,2021-10-11 23:13:12.977181+03,false
74,1,2,2021-10-11 23:13:12.977181+03,false
75,1,3,2021-10-11 23:13:12.977181+03,false
76,1,1,2021-10-11 23:13:12.977181+03,false
77,1,2,2021-10-11 23:13:12.977181+03,false
78,1,2,2021-10-11 23:13:12.977181+03,false
79,1,2,2021-10-11 23:13:12.977181+03,false
80,1,1,2021-10-11 23:13:12.977181+03,false
81,1,5,2021-10-11 23:13:12.977181+03,false
82,1,4,2021-10-11 23:13:12.977181+03,false
83,1,5,2021-10-11 23:13:12.977181+03,false
84,1,4,2021-10-11 23:13:12.977181+03,false
85,1,3,2021-10-11 23:13:12.977181+03,false
86,1,2,2021-10-11 23:13:12.977181+03,false
87,1,3,2021-10-11 23:13:12.977181+03,false
88,1,1,2021-10-11 23:13:12.977181+03,false
89,1,1,2021-10-11 23:13:12.977181+03,false
90,1,3,2021-10-11 23:13:12.977181+03,false
91,1,3,2021-10-11 23:13:12.977181+03,false
92,1,1,2021-10-11 23:13:12.977181+03,false
93,1,3,2021-10-11 23:13:12.977181+03,false
94,1,5,2021-10-11 23:13:12.977181+03,false
95,1,3,2021-10-11 23:13:12.977181+03,false
96,1,1,2021-10-11 23:13:12.977181+03,false
97,1,1,2021-10-11 23:13:12.977181+03,false
98,1,4,2021-10-11 23:13:12.977181+03,false
99,1,1,2021-10-11 23:13:12.977181+03,false
100,1,3,2021-10-11 23:13:12.977181+03,false
101,1,4,2021-10-11 23:13:12.977181+03,false
102,1,2,2021-10-11 23:13:12.977181+03,false
103,1,5,2021-10-11 23:13:12.977181+03,false
104,1,4,2021-10-11 23:13:12.977181+03,false
105,1,1,2021-10-11 23:13:12.977181+03,false
106,1,1,2021-10-11 23:13:12.977181+03,false
107,1,5,2021-10-11 23:13:12.977181+03,false
108,1,1,2021-10-11 23:13:12.977181+03,false
109,1,5,2021-10-11 23:13:12.977181+03,false
110,1,3,2021-10-11 23:13:12.977181+03,false
111,1,1,2021-10-11 23:13:12.977181+03,false
112,1,4,2021-10-11 23:13:12.977181+03,false
113,1,4,2021-10-11 23:13:12.977181+03,false
114,1,1,2021-10-11 23:13:12.977181+03,false
115,1,2,2021-10-11 23:13:12.977181+03,false
